bugid,summary,component
511553,Right click not working on first window,General
512074,Smart Bookmarks Add On NOT WORKING SUDDENLY,Bookmarks & History
512794,scroll wheel not working on multiple displays to 'left' of 'primary monitor' on windows xp,General
513216,ad page with  Iframe  working fine in windows based firefox but same web page showing popup with code,General
513243,pkcs11.addmodule() function not working in FF 3.5.2,Security
513345,"After a period of time browsing, clicking on any links stops working",General
513525,"restore session not working: well, this is embarrassing",General
513598,drop down arrow beside bookark this page not working,Address Bar
513887,Tab Focus Not Working,General
514840,In Full screen mode F6 isn't working correctly,General
515070,Drag-N-Drop No longer working,Tabbed Browser
515300,Memory Management Seems not to be working in Snow Leopard,General
515420,Extension smooth scrolling has quit working,Extension Compatibility
515444,"Certain web sites prevent hot-keys from working (metrolyrics.com, Command-T)",General
515753,Right click randomly stops working during sessions,General
515783,Bookmark mark this page nor working properly when using the create folder button,General
516355,parseFloat is not working property when the number exceeds 17 digits,General
518290,Form input auto-completion stops working after editing input twice,Address Bar
518393,Bookmarks not working,Bookmarks & History
519018,<SCRIPT type='text/javascript'> not working in <NOFRAMES> of <FRAMESET>,General
519050,Video stream not working,General
519123,fullscreen - ctrl+t(new tab) not working adressbar,General
521302,NativeCompareAndSwap(js/src/jslock.cpp) on sparc platforms is suboptimal/even not working on sparc64 platforms.,General
521638,Tabs stopping working,General
521820,"Bookmarks, History, Back &Forward buttons disabled not working",General
521826,Auto-complete on address bar not working after keeping system in lock mode for long time and unlocking,General
521978,New Tab Problem via STRG+T not working on Youtube.com,Tabbed Browser
522209,File Download not working as expected when target directory is missing.,File Handling
522615,I was having a problem with the search button in the top right not working after i installed hyperwords. I disabled hyperwords addon and it works again.,General
523340,applet drag and drop java is not working properly,General
524024,Ctrl+T Stops Working Sometimes,Keyboard Navigation
525391,RealPlayer's video download plug-in not working after upgrade to 3.5.4,Extension Compatibility
525767,"""Remember me"" function not working anymore",General
525818,permanent 100% CPU usage and context menu not working anymore,General
526982,in ebay at my messages select boxes 'copy to' and 'move to' not working,General
528051,MinimizeToTray causes Firefox 3.6b2 to freeze and stop working,Extension Compatibility
528816,Not Drag Drop images into Google Wave. Last Version Gears installed and working,General
529538,Desktop icon not working,General
529815,Windows 7 features (Aero tab previews and jump lists) not working,Shell Integration
529838,Master Password does not working properly.,General
529975,Facebook chat not working in 3.6 b3,General
530434,Java plugin not working nor listed in about:plugins,General
530585,Unable to set Firefox as the default browser. No prompt. Check Now Button also not working,General
530628,Find (crtl+f search) not working,General
531258,Recently closed menus (tabs/windows) greyed out and non-working,Session Restore
531572,Middle-click on tab bar is not working as expected [caused by TabMixPlus],Extension Compatibility
531796,Close button and close through Ctrl-F4 generate a 'Stopped working' error in Vista [Read It Later extension related?],General
532000,right mouse button not working?,General
532946,Refresh option is not working properly for web developers,General
533159,Hyperlinks are not working if placed before a label,General
533321,"after opening new tab in full screen mode and returning to normal mode, title text-area javascript is not working",Tabbed Browser
533443,Cache not working during hard reload,General
533904,Private Browsing breaks (stops working),Private Browsing
534037,EditFox not working due to possible bugs in the latest trunk,Extension Compatibility
534271,Runtime Error R6025 Crash while working in Yola (my website host),General
534343,Roboform toolbar not working,Extension Compatibility
534988,Address Bar Drop Down not working,Address Bar
535500,"Firefox will not open, error message ""Firefox has stopped working""",General
535619,Window Frame Controls Totally Stop Working In Win 7 x64,General
535804,Firefox stopped working after I upgraded to 3.5.6,General
535924,"Firefox stops working (not responding) when the video goes to the next five minutes, I have to click on the forward arrow before it gets to the end in order to avoid crashing.",General
535965,"After Firefox has been running awhile, auto-complete stops working",General
536133,Greasemonkey quit working,Extension Compatibility
536566,Form feed is not working,General
536671,Minefield won't open urls if its working directory is not its folder,General
536807,"While working in mail page locks up,sometimes have to shut down computer and start it back up to continue what I am doing.I",General
536947,"""Open link in new window"" not working",General
538105,VPN Connection not working,General
538580,Move address bar or search box to the menu bar will cause the hide menu bar not working,Toolbars and Customization
538744,Ctrl+F5 apparently not working.,General
538915,"Program stops working and screen ""grey's out"".",Session Restore
539050,security.fileuri.strict_origin_policy can prevent some desktop web apps from working,Security
539351,Aeropeek stopped working after I upgraded from beta 2,Tabbed Browser
